row_index,parse_ok,length,finite_count,nonfinite_count,min,max,mean,split
0,True,2151,2151,0,0.04,1.076,0.44416782891678286,original
1,True,2151,2151,0,0.033,1.019,0.4335034867503486,original
2,True,2151,2151,0,0.037,1.04,0.4358177591817759,original
3,True,2151,2151,0,0.047,0.998,0.4265620641562064,original
4,True,2151,2151,0,0.05,1.04,0.45248210134821015,original
5,True,2151,2151,0,0.043,1.006,0.4341422594142259,original
6,True,2151,2151,0,0.03,0.923,0.42142398884239884,original
7,True,2151,2151,0,0.034,0.946,0.4031352859135286,original
8,True,2151,2151,0,0.049,0.955,0.45080195258019523,original
9,True,2151,2151,0,0.035,0.972,0.43135006973500695,original
10,True,2151,2151,0,0.052,0.992,0.4745597396559739,original
11,True,2151,2151,0,0.032,0.961,0.4005178986517899,original
12,True,2151,2151,0,0.049,0.989,0.4543142724314272,original
13,True,2151,2151,0,0.046,1.001,0.4400804277080428,original
14,True,2151,2151,0,0.038,1.032,0.437882380288238,original
15,True,2151,2151,0,0.027,1.028,0.43083589028358904,original
16,True,2151,2151,0,0.037,1.041,0.45377963737796373,original
17,True,2151,2151,0,0.04,0.991,0.42185262668526263,original
18,True,2151,2151,0,0.04,0.93,0.4209595536959554,original
19,True,2151,2151,0,0.043,0.902,0.38376940957694095,original
20,True,2151,2151,0,0.038,0.921,0.39765736866573687,original
21,True,2151,2151,0,0.039,0.932,0.41746490004649006,original
22,True,2151,2151,0,0.036,0.919,0.411787540678754,original
23,True,2151,2151,0,0.047,0.904,0.4115746164574617,original
24,True,2151,2151,0,0.042,0.924,0.42106834030683404,original
25,True,2151,2151,0,0.037,0.937,0.4203626220362622,original
26,True,2151,2151,0,0.043,0.947,0.42959135285913524,original
27,True,2151,2151,0,0.047,0.897,0.41681682938168296,original
28,True,2151,2151,0,0.051,0.951,0.4160934449093445,original
29,True,2151,2151,0,0.039,0.902,0.3786290097629009,original
30,True,2151,2151,0,0.039,0.958,0.42854951185495116,original
31,True,2151,2151,0,0.042,0.918,0.3971143654114365,original
32,True,2151,2151,0,0.044,0.95,0.42929986052998603,original
33,True,2151,2151,0,0.059,0.954,0.45537331473733145,original
34,True,2151,2151,0,0.031,0.951,0.41002789400278944,original
35,True,2151,2151,0,0.033,0.93,0.40032821943282193,original
36,True,2151,2151,0,0.033,0.943,0.3923970246397025,original
37,True,2151,2151,0,0.036,0.979,0.43924081822408184,original
38,True,2151,2151,0,0.034,0.905,0.3932212924221292,original
39,True,2151,2151,0,0.036,0.947,0.4167178056717806,original
40,True,2151,2151,0,0.04,0.947,0.4030994886099489,original
41,True,2151,2151,0,0.038,0.935,0.40685960018596,original
42,True,2151,2151,0,0.044,0.954,0.42472849837284976,original
43,True,2151,2151,0,0.032,0.941,0.40200464900046484,original
44,True,2151,2151,0,0.039,0.971,0.4205188284518828,original
45,True,2151,2151,0,0.043,0.927,0.38712412831241283,original
46,True,2151,2151,0,0.041,0.944,0.39029009762900985,original
47,True,2151,2151,0,0.03,0.899,0.38006648070664806,original
48,True,2151,2151,0,0.042,0.942,0.44087819618781965,original
49,True,2151,2151,0,0.039,0.98,0.4349841933984193,original
50,True,2151,2151,0,0.046,0.995,0.46938679683867973,original
51,True,2151,2151,0,0.038,0.963,0.43335332403533244,original
52,True,2151,2151,0,0.049,0.998,0.47000371920037187,original
53,True,2151,2151,0,0.043,0.889,0.38341841004184096,original
54,True,2151,2151,0,0.042,0.936,0.4142352394235239,original
55,True,2151,2151,0,0.041,0.907,0.40474291027429105,original
56,True,2151,2151,0,0.04,0.885,0.390209669920967,original
57,True,2151,2151,0,0.036,0.856,0.36357368665736867,original
58,True,2151,2151,0,0.037,0.872,0.3835062761506276,original
59,True,2151,2151,0,0.031,0.946,0.41609716410971637,original
60,True,2151,2151,0,0.042,0.952,0.41923988842398885,original
61,True,2151,2151,0,0.039,1.029,0.4352105997210599,original
62,True,2151,2151,0,0.027,0.968,0.41632728963272897,original
63,True,2151,2151,0,0.04,0.917,0.3928544862854486,original
64,True,2151,2151,0,0.037,0.961,0.4061841004184101,original
65,True,2151,2151,0,0.035,0.98,0.4424602510460251,original
66,True,2151,2151,0,0.037,0.954,0.42054672245467223,original
67,True,2151,2151,0,0.039,1.029,0.4352105997210599,original
68,True,2151,2151,0,0.037,1.041,0.4429642026964203,original
69,True,2151,2151,0,0.027,0.968,0.41632728963272897,original
70,True,2151,2151,0,0.04,0.917,0.3928544862854486,original
71,True,2151,2151,0,0.037,0.961,0.4061841004184101,original
