Stages,"[-3.37445e-07, 33.7445)","[101.233, 134.978)","[134.978, 168.722)","[168.722, 202.467)","[202.467, 236.211)","[236.211, 269.956)","[269.956, 303.7)","[303.7, 337.445)","[33.7445, 67.489)","[67.489, 101.233)"
Dry,73,0,0,0,0,0,0,0,0,0
Fresh,0,6,0,2,26,17,10,12,0,0
Stage1,0,1,24,32,10,0,0,0,0,6
Stage2,1,32,20,0,0,0,0,0,9,11
Stage3,16,10,0,0,0,0,0,0,19,28
