stage,change_type,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,score,score_abs,score_norm,common_id,common_representative_wavelength_nm
Fresh,slope_curvature_change,132,532.0,0.12355319410562515,0.12303776477299896,0.001561313158976431,-0.0001261884346415998,0.0001257360162357883,0.0001257360162357883,0.16741805046773744,0,532.0
Fresh,local_maximum,150,550.0,0.1357979029417038,0.13576480809104058,7.899943503669737e-07,-9.384295688515815e-05,0.06629777883242068,0.06629777883242068,0.07597806721753654,0,532.0
Stage1,local_maximum,187,587.0,0.11005319654941559,0.11000878909248828,5.020846360635767e-06,-4.191217091342389e-05,0.035372807095910036,0.035372807095910036,0.040537670530400145,1,613.0
Stage2,local_maximum,191,591.0,0.12102129310369492,0.12087897934823036,-2.6684003141985713e-05,-7.470826432749017e-05,0.04021710302051104,0.04021710302051104,0.04608929304118306,1,613.0
Stage3,local_maximum,191,591.0,0.12523402273654938,0.12501878292573515,1.4507739798760855e-05,-8.628754038845013e-05,0.04241035651124994,0.04241035651124994,0.048602788426385435,1,613.0
Dry,local_maximum,191,591.0,0.16112767159938812,0.16072461373680783,8.452021806826249e-06,-0.00010855895054509568,0.05134591188393475,0.05134591188393475,0.05884304441517084,1,613.0
Dry,slope_curvature_change,213,613.0,0.14695744216442108,0.1473731993528859,-0.00014820233905069036,0.00012327116240817837,0.00011728869728306474,0.00011728869728306474,0.15617040867755946,1,613.0
Stage3,slope_curvature_change,214,614.0,0.11334042996168137,0.1136762026773829,-9.776720307583947e-05,9.931122760026972e-05,9.783023258426449e-05,9.783023258426449e-05,0.13026137861206588,1,613.0
Stage2,slope_curvature_change,214,614.0,0.10942554473876953,0.10968825916770297,-0.00015645466096203542,8.794650776747237e-05,8.402483978355718e-05,8.402483978355718e-05,0.11187943827524538,1,613.0
Stage1,slope_curvature_change,235,635.0,0.09993619471788406,0.0994531880472329,-0.0002599447541445782,-8.817146723323968e-05,8.574784211140551e-05,8.574784211140551e-05,0.11417362334103273,1,613.0
