stage,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,abs_second_derivative
Stage1,764,1164.0,0.8308300971984863,0.8308468380631293,-0.000672685462913214,6.648410661289073e-05,6.648410661289073e-05
Stage1,765,1165.0,0.8302199840545654,0.8302050095462976,-0.0006110640998941985,5.665107158642213e-05,5.665107158642213e-05
Stage1,766,1166.0,0.8296401500701904,0.8296247098633409,-0.0005593833197403697,4.476415054999183e-05,4.476415054999183e-05
Stage1,767,1167.0,0.8291399478912354,0.8290862429068169,-0.0005215357987942149,3.5803759407898594e-05,3.5803759407898594e-05
Stage1,768,1168.0,0.8286399841308594,0.8285816382657525,-0.0004877758009245725,2.8951678397531877e-05,2.8951678397531877e-05
Stage1,769,1169.0,0.8281500339508057,0.8281106913049677,-0.0004636324419991511,2.0578533745513328e-05,2.0578533745513328e-05
Stage1,770,1170.0,0.8277299404144287,0.8276543733817542,-0.00044661873343354586,1.3769684034187213e-05,1.3769684034187213e-05
Stage1,771,1171.0,0.8272900581359863,0.8272174538381006,-0.0004360930739307767,7.363299783930133e-06,7.363299783930133e-06
Stage1,772,1172.0,0.8270001411437988,0.8267821872338926,-0.0004318921338656856,2.438014710143266e-06,2.438014710143266e-06
Stage1,773,1173.0,0.8265299797058105,0.8263536695703693,-0.00043121704451049014,-2.9760492452346465e-06,2.9760492452346465e-06
Stage1,774,1174.0,0.8261699676513672,0.8259197531448716,-0.0004378442323561549,-7.385974743367996e-06,7.385974743367996e-06
Stage1,775,1175.0,0.8256998658180237,0.825477981105657,-0.00044598899399722614,-8.213087887731785e-06,8.213087887731785e-06
Stage1,776,1176.0,0.8252899050712585,0.8250277751568772,-0.00045427040813161845,-6.846077751448965e-06,6.846077751448965e-06
Stage1,777,1177.0,0.8248400092124939,0.8245694402893937,-0.00045968114950012406,-4.2055811386165765e-06,4.2055811386165765e-06
Stage1,778,1178.0,0.824380099773407,0.824108412857877,-0.0004626815704088516,-4.026655698069481e-06,4.026655698069481e-06
Stage1,779,1179.0,0.8238301873207092,0.823644077148576,-0.000467734460896263,-3.9331606684067655e-06,3.9331606684067655e-06
Stage1,780,1180.0,0.8234102129936218,0.8231729439360844,-0.00047054789174566514,-1.355841422745474e-07,1.355841422745474e-07
Stage1,781,1181.0,0.8228599429130554,0.8227029813650847,-0.0004680056291808121,3.977412099315236e-06,3.977412099315236e-06
Stage1,782,1182.0,0.8223598003387451,0.8222369326777228,-0.00046259306754703466,7.670196800702023e-06,7.670196800702023e-06
Stage1,783,1183.0,0.8218200206756592,0.8217777952299906,-0.0004526652355794081,1.2096617698992285e-05,1.2096617698992285e-05
Stage1,784,1184.0,0.8212500214576721,0.821331602206564,-0.0004383998321490501,1.503728177193464e-05,1.503728177193464e-05
Stage1,785,1185.0,0.8208199143409729,0.8209009955656925,-0.0004225906720355388,1.8118425716973086e-05,1.8118425716973086e-05
Stage1,786,1186.0,0.8202599287033081,0.8204864208624929,-0.0004021629807151039,2.4354108870583424e-05,2.4354108870583424e-05
Stage1,787,1187.0,0.819969892501831,0.8200966696042623,-0.00037388245429437195,3.003740481846706e-05,3.003740481846706e-05
Stage1,788,1188.0,0.8195400238037109,0.8197386559539042,-0.0003420881710781698,3.4423752758777626e-05,3.4423752758777626e-05
Stage1,789,1189.0,0.8192299604415894,0.819412493262106,-0.0003050349487768167,3.88322678527564e-05,3.88322678527564e-05
Stage1,790,1190.0,0.8190199136734009,0.8191285860563505,-0.000264423635372657,4.175188435573407e-05,4.175188435573407e-05
Stage1,791,1191.0,0.8188199400901794,0.8188836459913607,-0.00022153118006534855,4.4826035046824364e-05,4.4826035046824364e-05
Stage1,792,1192.0,0.8186500668525696,0.8186855236962198,-0.00017477156527900828,4.750656393281982e-05,4.750656393281982e-05
Stage1,793,1193.0,0.8185400366783142,0.8185341028608026,-0.0001265180521997089,4.803986849055697e-05,4.803986849055697e-05
Stage1,794,1194.0,0.8184400200843811,0.8184324875918204,-7.869182829789434e-05,4.8549355902594016e-05,4.8549355902594016e-05
Stage1,795,1195.0,0.8183899521827698,0.8183767192042068,-2.9419340394520876e-05,4.9876505545748406e-05,4.9876505545748406e-05
Stage1,796,1196.0,0.8183799982070923,0.8183736489110314,2.1061182793602473e-05,4.997905518949741e-05,4.997905518949741e-05
Stage1,797,1197.0,0.818399965763092,0.818418841569794,7.053876998447395e-05,4.879819881517533e-05,4.879819881517533e-05
Stage1,798,1198.0,0.8185200691223145,0.8185147264510003,0.00011865758042395314,4.552556236656069e-05,4.552556236656069e-05
Stage1,799,1199.0,0.8186100125312805,0.818656156730642,0.00016158989471759533,4.3621608649013766e-05,4.3621608649013766e-05
Stage1,800,1200.0,0.8187399506568909,0.8188379062404355,0.00020590079772198067,4.4339343141491794e-05,4.4339343141491794e-05
Stage1,801,1201.0,0.8190498948097229,0.8190679583260859,0.0002502685810005789,4.48833643600377e-05,4.48833643600377e-05
Stage1,802,1202.0,0.8192901015281677,0.8193384434024367,0.00029566752644205607,4.6034041701364936e-05,4.6034041701364936e-05
Stage1,803,1203.0,0.819689929485321,0.81965929337897,0.0003423366644033088,4.5789213016039776e-05,4.5789213016039776e-05
Stage1,804,1204.0,0.8200599551200867,0.8200231167312433,0.0003872459524741356,4.694582128775271e-05,4.694582128775271e-05
Stage1,805,1205.0,0.8204498887062073,0.8204337852839183,0.0004362283069788142,4.937221221834598e-05,4.937221221834598e-05
Stage1,806,1206.0,0.8209201097488403,0.8208955733452009,0.0004859903769108276,4.970204186452443e-05,4.970204186452443e-05
Stage1,807,1207.0,0.821399986743927,0.82140576603774,0.0005356323907078631,5.0139402774207475e-05,5.0139402774207475e-05
Stage1,808,1208.0,0.8219500184059143,0.8219668381266166,0.0005862691824592425,4.964953595265609e-05,4.964953595265609e-05
Stage1,809,1209.0,0.8225200176239014,0.8225783044026584,0.0006349314626131752,4.757541757413608e-05,4.757541757413608e-05
Stage1,810,1210.0,0.8231499195098877,0.823236701051843,0.0006814200176075147,4.5111314907336775e-05,4.5111314907336775e-05
Stage1,811,1211.0,0.8238397836685181,0.8239411444378735,0.0007251540924278488,4.21331274532144e-05,4.21331274532144e-05
Stage1,812,1212.0,0.8245500922203064,0.8246870092366987,0.0007656862725139435,3.9609099184212404e-05,3.9609099184212404e-05
