stage,change_type,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,score
Fresh,slope_curvature_change,133,533.0,0.1047000139951706,0.1041440694615553,0.0013660279087837138,-0.00013180378048825714,0.00013108786418906428
Fresh,local_maximum,148,548.0,0.11308997869491577,0.1133440874825073,2.1630442863365684e-05,-8.115969430281048e-05,0.05618382901720076
Fresh,local_minimum,258,658.0,0.054139990359544754,0.05399747968920793,6.759817635631354e-06,1.684606777098245e-05,0.059346607793299366
Fresh,slope_curvature_change,299,699.0,0.10609002411365509,0.10857710475078133,0.007861430188385449,0.0007733911961853301,0.0007732923256849253
Fresh,slope_curvature_change,340,740.0,0.7229598164558411,0.722044121261914,0.011320541635877035,-0.0006536409313088742,0.0006268861879592941
Fresh,local_maximum,519,919.0,0.8914401531219482,0.8913718143805267,4.0143327437180965e-06,-1.6563349636067315e-05,0.029278432139130284
Fresh,local_minimum,572,972.0,0.8622100353240967,0.8620933822413964,-3.4077444288072023e-06,4.537940169990762e-05,0.029278432139130284
Fresh,local_maximum,679,1079.0,0.9077003598213196,0.9077391203920876,-2.6913525325023002e-06,-7.199733584428714e-06,0.8537416407028797
Fresh,slope_curvature_change,732,1132.0,0.8838599920272827,0.8832340122221235,-0.002296074813508464,-0.00019581258953946246,0.00019512725365825045
Fresh,slope_curvature_change,754,1154.0,0.812559962272644,0.8132902349628853,-0.002273143892860041,0.0001951521210729057,0.00019160847003771297
Fresh,local_minimum,796,1196.0,0.7853000164031982,0.7853609165222617,1.750599688238319e-05,5.576266613419034e-05,0.04300612658457992
Fresh,local_maximum,870,1270.0,0.8283500075340271,0.8283670431068416,-1.4634712338701394e-05,-3.51089680926675e-05,0.04300612658457992
Fresh,slope_curvature_change,977,1377.0,0.5615798830986023,0.5602850384225732,-0.007836453997096426,-0.00047437186588447644,0.0004743410163069173
Fresh,slope_curvature_change,1004,1404.0,0.27959996461868286,0.2802771636522021,-0.007630336718155634,0.00045629891440074344,0.0004527111415229407
Fresh,local_minimum,1045,1445.0,0.18630000948905945,0.1862863740736878,-8.60960282959844e-06,3.369391870122057e-05,0.3123817623719283
Fresh,local_maximum,1257,1657.0,0.498820036649704,0.4986681364456161,2.190569544341381e-05,-4.7928601012145466e-05,0.3123817623719283
Fresh,slope_curvature_change,1462,1862.0,0.3194899559020996,0.3193820556536141,-0.00567993258068325,-0.0003066878610993168,0.00030359171917841016
Fresh,slope_curvature_change,1493,1893.0,0.08886997401714325,0.08985109501801933,-0.004832877179206177,0.0003749341648857374,0.0003747698693747359
Fresh,local_minimum,1528,1928.0,0.04684000462293625,0.04680186997473959,-6.831674601599086e-06,1.8587081664578342e-05,0.165406410451545
Fresh,local_maximum,1815,2215.0,0.21222999691963196,0.2122082804262846,-6.177158161146945e-06,-2.4274578876472275e-05,0.1626674759981675
Stage1,local_maximum,156,556.0,0.08934000134468079,0.08934981861964283,-1.8050517619078166e-06,-3.974221342403772e-05,0.026750111959768952
Stage1,local_minimum,268,668.0,0.060050010681152344,0.060070728531862544,-2.011828503493962e-05,3.7057817792948006e-05,0.02927909008778029
Stage1,slope_curvature_change,295,695.0,0.09771998226642609,0.09969997340307189,0.005673612958515685,0.0005243109016088501,0.0005243007680959602
Stage1,slope_curvature_change,334,734.0,0.4602600038051605,0.46012363619840835,0.007456939996331291,-0.0002368015906472759,0.00023352771595122612
Stage1,local_maximum,694,1094.0,0.9059800505638123,0.9059768793302684,8.278951954543423e-07,-7.548501221837922e-06,0.8320974312185199
Stage1,slope_curvature_change,732,1132.0,0.8935001492500305,0.8931501396312738,-0.001568436417689112,-0.00014378481831511802,0.0001435954414178986
Stage1,slope_curvature_change,754,1154.0,0.8420000672340393,0.8425368534709474,-0.0017851330185456593,0.00013619981233742307,0.00012841353143766554
Stage1,local_minimum,796,1196.0,0.8183799982070923,0.8183736489110314,2.1061182793602473e-05,4.997905518949741e-05,0.04139374120735084
Stage1,local_maximum,871,1271.0,0.8597703576087952,0.8597673901183822,7.795867429105652e-06,-2.6483243559749514e-05,0.04139374120735084
Stage1,slope_curvature_change,979,1379.0,0.6318899393081665,0.6305759948785359,-0.007524423071426256,-0.000441967108961161,0.00044183152481888643
Stage1,slope_curvature_change,1007,1407.0,0.3554401099681854,0.3561051278742726,-0.007086326971925655,0.0004171933506024045,0.0004157276317629244
Stage1,local_minimum,1044,1444.0,0.27066004276275635,0.27060307511268317,1.730118238812972e-05,4.1725485989560496e-05,0.302686948746218
Stage1,local_maximum,1254,1654.0,0.5733500123023987,0.5732900238589012,-1.1924069213964383e-05,-4.833677213078591e-05,0.302686948746218
Stage1,slope_curvature_change,1464,1864.0,0.3980899751186371,0.3977568431556934,-0.006139899185591047,-0.00034585253454484655,0.0003228808525000265
Stage1,slope_curvature_change,1496,1896.0,0.12681999802589417,0.1277891161467012,-0.005738015146958798,0.0004252570366061366,0.00042498170416354134
Stage1,local_minimum,1528,1928.0,0.07392001897096634,0.07387944811174853,8.069032279359178e-06,3.977268045212562e-05,0.20060254482063666
Stage1,local_maximum,1815,2215.0,0.27448004484176636,0.2744819929323852,5.01961941448692e-06,-3.4725423293871516e-05,0.1956044005941544
Stage2,local_maximum,160,560.0,0.10020001232624054,0.1000702665166193,-6.904552264708208e-06,-4.6164719000822e-05,0.031725883249571665
Stage2,local_minimum,270,670.0,0.06737001240253448,0.06728853800275689,-3.8095272904964395e-06,5.8892924842991745e-05,0.03278172851386241
Stage2,slope_curvature_change,293,693.0,0.10186998546123505,0.10312639452898648,0.00478779069347738,0.0004135808926378874,0.00041344792399672023
Stage2,slope_curvature_change,332,732.0,0.400549978017807,0.4004168533581964,0.006364640712267666,-0.00016913496410658757,0.00016828763460394192
Stage2,local_maximum,711,1111.0,0.8948900699615479,0.8949475985154566,2.6282791373843928e-06,-1.0355011145518622e-05,0.783070124948776
Stage2,slope_curvature_change,732,1132.0,0.888029932975769,0.8877817651405214,-0.0010374232332533984,-9.65994799602965e-05,9.646335335486422e-05
Stage2,slope_curvature_change,755,1155.0,0.8505601286888123,0.8508758097510025,-0.0013067947894814247,8.629449295777247e-05,8.268787701992686e-05
Stage2,local_minimum,796,1196.0,0.829740047454834,0.829719462527528,5.546727837701937e-06,4.5537412172613756e-05,0.03957571523690162
Stage2,local_maximum,876,1276.0,0.8692499399185181,0.8692951777644297,1.5725494214025026e-06,-1.5237822862057548e-05,0.03957571523690162
Stage2,slope_curvature_change,980,1380.0,0.6929300427436829,0.6917903281244011,-0.006189932830654832,-0.00037857289049794685,0.0003780144510610456
Stage2,slope_curvature_change,1008,1408.0,0.4485699534416199,0.4491762595400031,-0.007032830496807668,0.00034903965695273764,0.0003322128872139396
Stage2,local_minimum,1044,1444.0,0.35927000641822815,0.3591880997604511,-3.001017618242674e-06,4.8858831879661224e-05,0.26513735511350467
Stage2,local_maximum,1251,1651.0,0.6243399977684021,0.6243254548739557,-2.341432161068191e-05,-5.0665943117977896e-05,0.26513735511350467
Stage2,slope_curvature_change,1324,1724.0,0.5459499359130859,0.5464100024313977,-0.0005354724002445965,9.249806380007275e-05,9.168209978005493e-05
Stage2,slope_curvature_change,1467,1867.0,0.4649699926376343,0.46435506957546535,-0.006242730238039895,-0.0003516233667154034,0.00034529690235471366
Stage2,slope_curvature_change,1498,1898.0,0.18436996638774872,0.18522337428333485,-0.006796624905142587,0.0004437651422294006,0.00044365540607922
Stage2,local_minimum,1528,1928.0,0.11699002236127853,0.11696559875006687,-4.310903371745889e-06,6.991225669690515e-05,0.21246479297957696
Stage2,local_maximum,1816,2216.0,0.32943999767303467,0.32943039172964383,2.5877511131144892e-06,-4.266440982896025e-05,0.21246479297957696
Stage2,slope_curvature_change,1829,2229.0,0.3247399628162384,0.32461275601966905,-0.0008441684177110109,-9.265254072814144e-05,9.252503401274703e-05
Stage2,slope_curvature_change,1904,2304.0,0.23035003244876862,0.23075237729024445,-0.0006039627020695548,9.154746570171762e-05,9.090278743311558e-05
Stage3,local_maximum,162,562.0,0.10738001763820648,0.10724448334451299,-2.24738796278795e-05,-4.26275790301224e-05,0.035051762372094356
Stage3,local_minimum,271,671.0,0.07232002168893814,0.07219272097241863,3.342928220027852e-05,7.274152841187098e-05,0.035051762372094356
Stage3,slope_curvature_change,292,692.0,0.10586001724004745,0.10702115941793475,0.004790104079163776,0.0004321462283111803,0.00043184146422931696
Stage3,slope_curvature_change,328,728.0,0.3829699456691742,0.3828367957880417,0.006326745272237033,-0.0001703242309198244,0.00016219888267848814
Stage3,local_maximum,717,1117.0,0.9045300483703613,0.9045954182109324,-5.875990911285989e-06,-1.7956755124920454e-05,0.7336587445157419
Stage3,local_minimum,797,1197.0,0.8560001254081726,0.8559382794683952,7.774223149570325e-06,4.17838068048626e-05,0.0386343537368804
Stage3,local_maximum,883,1283.0,0.8945198059082031,0.8945726332052756,1.4682759504891507e-06,-9.121850776422358e-06,0.0386343537368804
Stage3,slope_curvature_change,984,1384.0,0.756320059299469,0.7556554137882632,-0.005160653831647877,-0.0002716961373742388,0.0002716122092848161
Stage3,slope_curvature_change,1016,1416.0,0.5390000343322754,0.5393435462340197,-0.004852489432582985,0.0002683473067030817,0.00025887478816163934
Stage3,local_minimum,1046,1446.0,0.4834900200366974,0.4833532038882665,-1.35143240295732e-06,4.641138207793494e-05,0.20448922650771617
Stage3,local_maximum,1247,1647.0,0.6878501176834106,0.6878424303959827,7.258904258677923e-06,-5.20572360140914e-05,0.20448922650771617
Stage3,slope_curvature_change,1323,1723.0,0.5964300632476807,0.5967539062344522,-0.0004575715193747554,0.00011924416088993084,0.00011805436592854379
Stage3,local_minimum,1359,1759.0,0.5936199426651001,0.5937831979367166,-1.9551131153705548e-05,5.51867089048641e-05,0.026107264211196468
Stage3,local_maximum,1440,1840.0,0.6199200749397278,0.6198904621479131,-1.5008541773220418e-05,-5.884747773288179e-05,0.026107264211196468
Stage3,slope_curvature_change,1476,1876.0,0.5221500396728516,0.5220934225805351,-0.007477656083661799,-0.0003475211368604292,0.0003301276121767671
Stage3,slope_curvature_change,1503,1903.0,0.27163001894950867,0.27242653108947684,-0.006626723744995816,0.0004502414526158238,0.00045019579680806443
Stage3,local_minimum,1528,1928.0,0.20890003442764282,0.20888920553575577,-4.402658300220463e-05,0.00011445366811288493,0.1865917495416484
Stage3,local_maximum,1816,2216.0,0.39553987979888916,0.39548095507740416,1.2393956816542095e-05,-5.329033535618477e-05,0.1865917495416484
Stage3,slope_curvature_change,1832,2232.0,0.38609009981155396,0.38575850600888234,-0.0014293489278730531,-0.00011882331346228792,0.00011814707966054105
Stage3,slope_curvature_change,1871,2271.0,0.3070899248123169,0.3075688450952826,-0.0012501423632438613,8.088811314350963e-05,7.937025078773308e-05
Stage3,slope_curvature_change,1903,2303.0,0.2763800024986267,0.27687570768221864,-0.0005915565586678273,0.00012139747286002422,0.0001211446782541925
Stage3,slope_curvature_change,1945,2345.0,0.2654600143432617,0.26635692244424236,-0.0003180123804577273,7.302261303572533e-05,7.263366696157181e-05
Stage3,slope_curvature_change,2081,2481.0,0.17559002339839935,0.17535026794750347,-0.00047513028134565927,7.970834357912127e-05,7.566144831083754e-05
Dry,local_maximum,165,565.0,0.14084000885486603,0.14070480769758248,-3.4132308407430756e-07,-3.3109192404470744e-05,0.04174294768076135
Dry,slope_curvature_change,238,638.0,0.12573999166488647,0.12538336962008972,-0.0005813010755708753,-8.184854395138288e-05,8.105369154219264e-05
Dry,local_minimum,270,670.0,0.0991000086069107,0.09896186001682113,-3.564029416681935e-05,0.00010668191674933006,0.04174294768076135
Dry,slope_curvature_change,290,690.0,0.1346299648284912,0.13573006834973336,0.004992483358723432,0.0004321365112517628,0.000432009733094485
Dry,slope_curvature_change,316,716.0,0.33667004108428955,0.33649041159428567,0.0069842739803914755,-0.0002045904828951728,0.0001997588262066044
Dry,slope_curvature_change,585,985.0,0.850879967212677,0.8508625885439189,0.0009215739182242277,0.0002302933446268196,0.00023015850486449163
Dry,slope_curvature_change,616,1016.0,0.8563398718833923,0.856399484707276,0.0007938506153840619,-0.00022359582794148625,0.00022180769161189717
Dry,local_maximum,724,1124.0,0.8957198262214661,0.895750690415426,1.1845767672880037e-06,-1.5970271667248293e-05,0.026703701431317173
