row,parse_ok,original_length,retained_length,min,max,mean
0,True,2151,2101,0.07800000160932541,0.9800000190734863,0.45109468698501587
1,True,2151,2101,0.019999999552965164,0.9079999923706055,0.3974055051803589
2,True,2151,2101,0.017999999225139618,0.8700000047683716,0.3777967393398285
3,True,2151,2101,0.0430000014603138,0.8600000143051147,0.38087767362594604
4,True,2151,2101,0.029999999329447746,0.8560000061988831,0.3703474700450897
5,True,2151,2101,0.03799999877810478,0.843999981880188,0.3667548894882202
6,True,2151,2101,0.03400000184774399,0.8730000257492065,0.3797144293785095
7,True,2151,2101,0.05000000074505806,0.8740000128746033,0.3973674476146698
8,True,2151,2101,0.05000000074505806,0.8109999895095825,0.3664883077144623
9,True,2151,2101,0.028999999165534973,0.9340000152587891,0.4025668799877167
10,True,2151,2101,0.02800000086426735,0.9100000262260437,0.3957729935646057
11,True,2151,2101,0.028999999165534973,0.8960000276565552,0.38979437947273254
12,True,2151,2101,0.03700000047683716,0.8820000290870667,0.3861989378929138
13,True,2151,2101,0.06300000101327896,0.8830000162124634,0.4028681814670563
14,True,2151,2101,0.03500000014901161,0.9070000052452087,0.39423230290412903
15,True,2151,2101,0.03400000184774399,0.8700000047683716,0.37712183594703674
16,True,2151,2101,0.05400000140070915,0.7839999794960022,0.3746577501296997
17,True,2151,2101,0.04500000178813934,0.8479999899864197,0.3820357024669647
18,True,2151,2101,0.050999999046325684,0.8870000243186951,0.3983626961708069
19,True,2151,2101,0.05400000140070915,0.8360000252723694,0.38605809211730957
20,True,2151,2101,0.054999999701976776,0.8600000143051147,0.40209662914276123
21,True,2151,2101,0.057999998331069946,0.8029999732971191,0.371366947889328
22,True,2151,2101,0.04100000113248825,0.9120000004768372,0.4004811942577362
23,True,2151,2101,0.03500000014901161,0.9190000295639038,0.40014421939849854
24,True,2151,2101,0.04500000178813934,0.9319999814033508,0.4197186827659607
25,True,2151,2101,0.026000000536441803,0.9020000100135803,0.385322242975235
26,True,2151,2101,0.04399999976158142,0.9259999990463257,0.41626033186912537
