stage,n_samples,spectral_index_retained,wavelength_nm,mean_reflectance,std_reflectance,smoothed_reflectance,first_derivative,second_derivative
Fresh,100,0,400.0,0.074630007147789,0.024506594985723495,0.07453257657831079,-0.0003918963136645831,-1.0118694129188088e-06
Fresh,100,1,401.0,0.07431001961231232,0.02456977590918541,0.07414068026464621,-0.0003929081830775019,-1.397999204795497e-06
Fresh,100,2,402.0,0.07371000200510025,0.024728646501898766,0.07374676021215579,-0.0003946923120741741,-1.5445191675067527e-06
Fresh,100,3,403.0,0.0730300098657608,0.024769118055701256,0.07335129564049786,-0.0003959972214125154,-1.0652995091793571e-06
Fresh,100,4,404.0,0.07294001430273056,0.02463202178478241,0.07295476576933076,-0.0003968229110925328,-5.860798508589005e-07
Fresh,100,5,405.0,0.07263001799583435,0.024830488488078117,0.0725576498183128,-0.0003971693811142332,-1.0686019253497436e-07
Fresh,100,6,406.0,0.07203000783920288,0.02499338611960411,0.07216042700710229,-0.00039703663147760276,3.7235946579589063e-07
Fresh,100,7,407.0,0.07139001041650772,0.02480197511613369,0.07176357655535759,-0.00039642466218264144,8.515791241232862e-07
Fresh,100,8,408.0,0.07149999588727951,0.024762270972132683,0.07136757768273701,-0.0003953334732293562,1.3307987824437428e-06
Fresh,100,9,409.0,0.07128000259399414,0.024809708818793297,0.07097290960889888,-0.00039376306461775396,1.810018440767669e-06
Fresh,100,10,410.0,0.07076001167297363,0.02495921589434147,0.0705800515535015,-0.00039171343634782085,2.289238099098534e-06
Fresh,100,11,411.0,0.07033000886440277,0.025211529806256294,0.07018948273620323,-0.0003891845884195569,2.76845775742246e-06
Fresh,100,12,412.0,0.06977999955415726,0.024943768978118896,0.06980168237666239,-0.00038617652083297593,3.247677415746386e-06
Fresh,100,13,413.0,0.06925999373197556,0.02496221847832203,0.06941712969453728,-0.0003826892335880641,3.7268970734596896e-06
Fresh,100,14,414.0,0.06898999959230423,0.02523231878876686,0.06903630390948626,-0.00037872272668605655,7.197811871320625e-06
Fresh,100,15,415.0,0.06876999139785767,0.025320682674646378,0.06865968424116517,-0.00036829360984542286,1.437549046477346e-05
Fresh,100,16,416.0,0.06843999028205872,0.02518702857196331,0.06829971668979541,-0.00034997174575650963,1.070422989430525e-05
Fresh,100,17,417.0,0.0678899884223938,0.02508421428501606,0.06795974074965215,-0.00034688515005681236,-5.4001463853127485e-06
Fresh,100,18,418.0,0.067330002784729,0.025323133915662766,0.06760594638968179,-0.00036077203852713513,-4.6984831168564445e-06
Fresh,100,19,419.0,0.06716000288724899,0.02528546005487442,0.06723819667259788,-0.00035628211629052525,1.1937283371274421e-05
Fresh,100,20,420.0,0.06685999035835266,0.025252332910895348,0.06689338215710074,-0.0003368974717845863,1.0326368714834444e-05
Fresh,100,21,421.0,0.06652999669313431,0.025322502478957176,0.06656440172902871,-0.00033562937886085636,-6.889175318148394e-06
Fresh,100,22,422.0,0.06606999039649963,0.025238169357180595,0.06622212339937902,-0.0003506758224208831,-4.948124938203291e-06
Fresh,100,23,423.0,0.06601998955011368,0.025253901258111,0.06586305008418694,-0.00034552562873726295,1.394022408704107e-05
Fresh,100,24,424.0,0.06565999239683151,0.02530265785753727,0.0655310721419045,-0.00032279537424680094,1.5713645538765336e-05
Fresh,100,25,425.0,0.06505000591278076,0.0253161508589983,0.06521745933569334,-0.0003140983376597323,3.866008534195858e-06
Fresh,100,26,426.0,0.06477000564336777,0.025252267718315125,0.06490287546658503,-0.0003150633571784092,-2.728599973189638e-07
Fresh,100,27,427.0,0.06479999423027039,0.025306126102805138,0.06458733262133652,-0.0003146440576543702,1.642172117365115e-06
Fresh,100,28,428.0,0.06449998170137405,0.025447001680731773,0.06427358735127629,-0.000311779012943679,3.2112716239172945e-06
Fresh,100,29,429.0,0.06395000219345093,0.02545992285013199,0.06396377459544916,-0.0003082215144065356,5.81490664179618e-06
Fresh,100,30,430.0,0.0638900026679039,0.025340043008327484,0.06365714432246322,-0.00030014919966008663,1.0997660168769047e-05
Fresh,100,31,431.0,0.0634399950504303,0.025354810059070587,0.06336347619612899,-0.0002862261940689975,1.0894294475947974e-05
Fresh,100,32,432.0,0.06292999535799026,0.025369372218847275,0.06308469193432523,-0.0002783606107081907,2.4111292572966125e-06
Fresh,100,33,433.0,0.06282000243663788,0.02545245923101902,0.06280675497471261,-0.0002814039355544043,9.887050040485734e-08
Fresh,100,34,434.0,0.06260000169277191,0.025408657267689705,0.06252188406321642,-0.00027816286970738097,7.920630844281129e-06
Fresh,100,35,435.0,0.062209997326135635,0.025512468069791794,0.06225042923529785,-0.00026556267386584204,1.1943958022380546e-05
Fresh,100,36,436.0,0.061769999563694,0.025485234335064888,0.061990758715484734,-0.0002542749536626199,8.693687253875926e-06
Fresh,100,37,437.0,0.06162000074982643,0.025499718263745308,0.06174187932797261,-0.0002481752993580902,8.659966482872303e-06
Fresh,100,38,438.0,0.061469998210668564,0.025505080819129944,0.061494408116768554,-0.00023695502069687527,1.4776407573094397e-05
Fresh,100,39,439.0,0.06122999265789986,0.025379067286849022,0.061267969286578856,-0.0002186224842119014,1.2548784273785918e-05
Fresh,100,40,440.0,0.06094999238848686,0.02549838274717331,0.06105716314834475,-0.00021185745214930343,5.186314571487688e-06
Fresh,100,41,441.0,0.060789987444877625,0.025424906983971596,0.06084425438228025,-0.00020824985506892602,9.724959792878005e-06
Fresh,100,42,442.0,0.060739994049072266,0.025500833988189697,0.0606406634382069,-0.00019240753256354742,1.6690967952037727e-05
Fresh,100,43,443.0,0.06050999462604523,0.025455648079514503,0.060459439317153155,-0.00017486791916485056,1.164536276358416e-05
Fresh,100,44,444.0,0.06019999086856842,0.025397639721632004,0.0602909275998772,-0.0001691168070363791,8.285748000533277e-06
Fresh,100,45,445.0,0.060159992426633835,0.025426648557186127,0.060121205703080396,-0.000158296423163784,1.2769649461301727e-05
Fresh,100,46,446.0,0.06004999950528145,0.025380851700901985,0.05997433475354963,-0.00014357750811377565,7.167438003517768e-06
Fresh,100,47,447.0,0.05983000621199608,0.025363776832818985,0.059834050686852845,-0.00014396154715674847,1.4798761857684473e-06
Fresh,100,48,448.0,0.059650007635354996,0.02545599453151226,0.05968641165923613,-0.00014061775574223875,9.325875967835726e-06
Fresh,100,49,449.0,0.05957000330090523,0.025371737778186798,0.05955281517536837,-0.00012530979522107702,1.3767645747711846e-05
Fresh,100,50,450.0,0.059480004012584686,0.025294458493590355,0.05943579206879398,-0.00011308246424681506,6.280786044490783e-06
Fresh,100,51,451.0,0.05934000387787819,0.02530660666525364,0.05932665024687474,-0.00011274822313209545,-2.7193065247656245e-07
Fresh,100,52,452.0,0.05920000374317169,0.02532903477549553,0.05921029562252979,-0.00011362632555176819,2.354690676055829e-06
Fresh,100,53,453.0,0.05911000818014145,0.025311222299933434,0.0590993975957712,-0.0001080388417799838,4.66117389565264e-06
Fresh,100,54,454.0,0.05907000973820686,0.025326766073703766,0.05899421793896982,-0.00010430397776046291,5.860259480079677e-07
Fresh,100,55,455.0,0.05887001007795334,0.02534271590411663,0.058890789640250275,-0.00010686678988396786,-1.1616228537281864e-06
Fresh,100,56,456.0,0.0587100125849247,0.025247296318411827,0.058780484359201884,-0.00010662722346791928,5.016608461506922e-06
Fresh,100,57,457.0,0.058590009808540344,0.025211935862898827,0.05867753519331444,-9.683357296095402e-05,7.984923180550177e-06
Fresh,100,58,458.0,0.05858001112937927,0.025231005623936653,0.058586817213279976,-9.065737710681893e-05,1.5711186749228778e-06
Fresh,100,59,459.0,0.05851001292467117,0.025242621079087257,0.0584962204391008,-9.369133561110826e-05,-8.175697485436617e-07
Fresh,100,60,460.0,0.05844000726938248,0.025238586589694023,0.05839943454205776,-9.229251660390625e-05,4.313373650959712e-06
Fresh,100,61,461.0,0.05836000293493271,0.02520615980029106,0.058311635405892986,-8.506458830918884e-05,4.790657776193932e-06
Fresh,100,62,462.0,0.05821999907493591,0.02523988112807274,0.05822930536543938,-8.271120105151838e-05,1.130442335918122e-06
Fresh,100,63,463.0,0.058240003883838654,0.025215918198227882,0.05814621300378995,-8.28037036373526e-05,1.7158056501292984e-06
Fresh,100,64,464.0,0.058219995349645615,0.02521609701216221,0.05806369795816468,-7.927958975125979e-05,3.6428175359537462e-06
Fresh,100,65,465.0,0.0580500066280365,0.025225533172488213,0.05798765382428743,-7.55180685654451e-05,3.0361928685419814e-06
Fresh,100,66,466.0,0.05782000720500946,0.025266334414482117,0.05791266182103379,-7.320720401417583e-05,2.678331156837077e-06
Fresh,100,67,467.0,0.057760003954172134,0.025227811187505722,0.05784123941625908,-7.016140625177095e-05,2.524060195196326e-06
Fresh,100,68,468.0,0.05770000442862511,0.025212496519088745,0.057772339008530245,-6.815908362378317e-05,3.804030707346001e-06
Fresh,100,69,469.0,0.05765000358223915,0.02521205134689808,0.05770492124901151,-6.255334483707894e-05,5.120282868592216e-06
Fresh,100,70,470.0,0.057589996606111526,0.025197656825184822,0.05764723231885609,-5.791851788659874e-05,1.448476139901192e-06
Fresh,100,71,471.0,0.05766000598669052,0.025098297744989395,0.057589084213238315,-5.965639255727656e-05,-1.3727660845876122e-06
Fresh,100,72,472.0,0.057550009340047836,0.025128619745373726,0.057527919533741534,-6.0664050055773966e-05,1.6481524909937179e-06
Fresh,100,73,473.0,0.057450003921985626,0.025165995582938194,0.05746775611312677,-5.6360087575289125e-05,5.066608400773956e-06
