row,parse_ok,original_length,retained_length,min,max,mean
0,True,2151,2101,0.03799999877810478,0.8809999823570251,0.37981247901916504
1,True,2151,2101,0.04399999976158142,0.9010000228881836,0.38498812913894653
2,True,2151,2101,0.05700000002980232,0.949999988079071,0.44729939103126526
3,True,2151,2101,0.05999999865889549,0.8999999761581421,0.40489479899406433
4,True,2151,2101,0.04899999871850014,0.9539999961853027,0.41068586707115173
5,True,2151,2101,0.05400000140070915,0.9470000267028809,0.4358372092247009
6,True,2151,2101,0.052000001072883606,0.9390000104904175,0.4442341923713684
7,True,2151,2101,0.02500000037252903,0.8619999885559082,0.3759581446647644
8,True,2151,2101,0.03700000047683716,0.8970000147819519,0.3840695023536682
9,True,2151,2101,0.03999999910593033,0.9089999794960022,0.39670586585998535
10,True,2151,2101,0.04600000008940697,0.9409999847412109,0.4202532172203064
11,True,2151,2101,0.04399999976158142,0.8859999775886536,0.4013950228691101
12,True,2151,2101,0.04399999976158142,0.921999990940094,0.39748644828796387
13,True,2151,2101,0.035999998450279236,0.9369999766349792,0.38322654366493225
14,True,2151,2101,0.0560000017285347,0.9240000247955322,0.40680772066116333
15,True,2151,2101,0.0430000014603138,0.9089999794960022,0.39174532890319824
16,True,2151,2101,0.04699999839067459,0.9079999923706055,0.40511709451675415
17,True,2151,2101,0.04100000113248825,0.9200000166893005,0.3872351050376892
18,True,2151,2101,0.07699999958276749,0.8759999871253967,0.40798714756965637
19,True,2151,2101,0.03700000047683716,0.9200000166893005,0.38150453567504883
20,True,2151,2101,0.029999999329447746,0.8920000195503235,0.35759925842285156
21,True,2151,2101,0.06800000369548798,0.859000027179718,0.37234553694725037
22,True,2151,2101,0.08799999952316284,0.8529999852180481,0.3984459936618805
23,True,2151,2101,0.03999999910593033,0.8999999761581421,0.3835587799549103
24,True,2151,2101,0.03700000047683716,0.8740000128746033,0.34729984402656555
25,True,2151,2101,0.04899999871850014,0.9340000152587891,0.4003151059150696
26,True,2151,2101,0.04800000041723251,0.9470000267028809,0.4284840524196625
27,True,2151,2101,0.03700000047683716,0.8970000147819519,0.374619722366333
28,True,2151,2101,0.04399999976158142,1.0089999437332153,0.4298509955406189
29,True,2151,2101,0.04100000113248825,0.9300000071525574,0.3885883092880249
30,True,2151,2101,0.050999999046325684,0.9670000076293945,0.42707377672195435
31,True,2151,2101,0.05000000074505806,1.0219999551773071,0.44440314173698425
32,True,2151,2101,0.06499999761581421,0.9509999752044678,0.42394524812698364
33,True,2151,2101,0.03500000014901161,0.9769999980926514,0.4175516366958618
34,True,2151,2101,0.023000000044703484,0.9829999804496765,0.4023503065109253
35,True,2151,2101,0.04500000178813934,0.9369999766349792,0.3757786750793457
36,True,2151,2101,0.032999999821186066,0.9860000014305115,0.40095144510269165
37,True,2151,2101,0.04899999871850014,1.003000020980835,0.41822224855422974
38,True,2151,2101,0.024000000208616257,1.0180000066757202,0.4067244231700897
39,True,2151,2101,0.07599999755620956,0.9089999794960022,0.4017881751060486
40,True,2151,2101,0.07800000160932541,0.9629999995231628,0.4621866047382355
41,True,2151,2101,0.04100000113248825,0.9990000128746033,0.4580223858356476
42,True,2151,2101,0.07800000160932541,0.9660000205039978,0.43504762649536133
43,True,2151,2101,0.05700000002980232,0.9330000281333923,0.4225711524486542
44,True,2151,2101,0.07699999958276749,0.8880000114440918,0.3970257043838501
45,True,2151,2101,0.0860000029206276,0.8700000047683716,0.3979048430919647
46,True,2151,2101,0.052000001072883606,0.9380000233650208,0.39837172627449036
47,True,2151,2101,0.026000000536441803,0.9950000047683716,0.4072851240634918
48,True,2151,2101,0.04100000113248825,0.8999999761581421,0.3723208010196686
49,True,2151,2101,0.028999999165534973,0.8799999952316284,0.35949358344078064
50,True,2151,2101,0.03099999949336052,0.9679999947547913,0.4258648455142975
51,True,2151,2101,0.06400000303983688,1.0089999437332153,0.43018752336502075
52,True,2151,2101,0.035999998450279236,0.9399999976158142,0.4008086621761322
53,True,2151,2101,0.04899999871850014,0.9409999847412109,0.3923136591911316
54,True,2151,2101,0.026000000536441803,0.9959999918937683,0.4134421646595001
55,True,2151,2101,0.026000000536441803,0.9959999918937683,0.4134421646595001
56,True,2151,2101,0.03700000047683716,0.9139999747276306,0.3700485825538635
57,True,2151,2101,0.035999998450279236,0.9629999995231628,0.4234878420829773
58,True,2151,2101,0.03700000047683716,0.996999979019165,0.42068207263946533
59,True,2151,2101,0.041999999433755875,1.034999966621399,0.4338909983634949
60,True,2151,2101,0.02500000037252903,1.0230000019073486,0.41684672236442566
61,True,2151,2101,0.03400000184774399,1.0130000114440918,0.40910854935646057
62,True,2151,2101,0.03099999949336052,1.0080000162124634,0.4017748534679413
63,True,2151,2101,0.06700000166893005,1.0219999551773071,0.494129478931427
64,True,2151,2101,0.013000000268220901,1.024999976158142,0.4160114526748657
65,True,2151,2101,0.032999999821186066,1.0299999713897705,0.42639410495758057
66,True,2151,2101,0.04100000113248825,1.0579999685287476,0.44051164388656616
67,True,2151,2101,0.019999999552965164,1.0460000038146973,0.43140217661857605
68,True,2151,2101,0.041999999433755875,0.8569999933242798,0.40103188157081604
69,True,2151,2101,0.041999999433755875,0.8629999756813049,0.39072585105895996
70,True,2151,2101,0.014999999664723873,0.890999972820282,0.37838125228881836
71,True,2151,2101,0.032999999821186066,0.871999979019165,0.3671642243862152
72,True,2151,2101,0.029999999329447746,0.8629999756813049,0.38030603528022766
73,True,2151,2101,0.04500000178813934,0.8410000205039978,0.35655832290649414
74,True,2151,2101,0.05400000140070915,0.8289999961853027,0.33096766471862793
75,True,2151,2101,0.05400000140070915,0.9049999713897705,0.42103904485702515
76,True,2151,2101,0.05999999865889549,0.9110000133514404,0.4144240617752075
77,True,2151,2101,0.052000001072883606,0.9380000233650208,0.4151337742805481
78,True,2151,2101,0.050999999046325684,0.8980000019073486,0.4020480811595917
79,True,2151,2101,0.061000000685453415,0.9409999847412109,0.44908377528190613
80,True,2151,2101,0.05700000002980232,0.8840000033378601,0.3730519115924835
81,True,2151,2101,0.054999999701976776,0.9259999990463257,0.38864827156066895
82,True,2151,2101,0.052000001072883606,0.9459999799728394,0.4134431481361389
83,True,2151,2101,0.05700000002980232,0.9509999752044678,0.4163084030151367
84,True,2151,2101,0.04899999871850014,0.9539999961853027,0.4315173923969269
85,True,2151,2101,0.04500000178813934,0.8629999756813049,0.3407701253890991
86,True,2151,2101,0.020999999716877937,0.9049999713897705,0.3556639552116394
87,True,2151,2101,0.05700000002980232,0.949999988079071,0.4110066890716553
