source,row,parse_ok,length,finite_count,nonfinite_count,min,max,mean
train,0,True,2151,2151,0,0.07800000160932541,0.9800000190734863,0.4448358714580536
train,1,True,2151,2151,0,0.019999999552965164,0.9079999923706055,0.3908907473087311
train,2,True,2151,2151,0,0.017999999225139618,0.8700000047683716,0.3719698190689087
train,3,True,2151,2151,0,0.0430000014603138,0.8600000143051147,0.37509670853614807
train,4,True,2151,2151,0,0.029999999329447746,0.8560000061988831,0.36460715532302856
train,5,True,2151,2151,0,0.03799999877810478,0.843999981880188,0.3613482117652893
train,6,True,2151,2151,0,0.03400000184774399,0.8730000257492065,0.37362486124038696
train,7,True,2151,2151,0,0.05000000074505806,0.8740000128746033,0.39198049902915955
train,8,True,2151,2151,0,0.05000000074505806,0.8109999895095825,0.36117154359817505
train,9,True,2151,2151,0,0.028999999165534973,0.9340000152587891,0.3962264060974121
train,10,True,2151,2151,0,0.02800000086426735,0.9100000262260437,0.3898056745529175
train,11,True,2151,2151,0,0.028999999165534973,0.8960000276565552,0.3835848271846771
train,12,True,2151,2151,0,0.03700000047683716,0.8820000290870667,0.3804732859134674
train,13,True,2151,2151,0,0.06300000101327896,0.8830000162124634,0.39716410636901855
train,14,True,2151,2151,0,0.03500000014901161,0.9070000052452087,0.3880348801612854
train,15,True,2151,2151,0,0.03400000184774399,0.8700000047683716,0.37145373225212097
train,16,True,2151,2151,0,0.05400000140070915,0.7839999794960022,0.36974382400512695
train,17,True,2151,2151,0,0.04500000178813934,0.8479999899864197,0.37703949213027954
train,18,True,2151,2151,0,0.050999999046325684,0.8870000243186951,0.3926471471786499
train,19,True,2151,2151,0,0.05400000140070915,0.8360000252723694,0.38085028529167175
train,20,True,2151,2151,0,0.054999999701976776,0.8600000143051147,0.39674246311187744
train,21,True,2151,2151,0,0.057999998331069946,0.8029999732971191,0.36678338050842285
train,22,True,2151,2151,0,0.04100000113248825,0.9120000004768372,0.3938939571380615
train,23,True,2151,2151,0,0.03500000014901161,0.9190000295639038,0.3933914303779602
train,24,True,2151,2151,0,0.04500000178813934,0.9319999814033508,0.4132194221019745
train,25,True,2151,2151,0,0.026000000536441803,0.9020000100135803,0.37847885489463806
train,26,True,2151,2151,0,0.04399999976158142,0.9259999990463257,0.4093807637691498
train,27,True,2151,2151,0,0.023000000044703484,0.8360000252723694,0.3478530943393707
train,28,True,2151,2151,0,0.02500000037252903,0.9309999942779541,0.3905564844608307
train,29,True,2151,2151,0,0.03500000014901161,0.902999997138977,0.38888052105903625
train,30,True,2151,2151,0,0.028999999165534973,0.9089999794960022,0.4015653133392334
train,31,True,2151,2151,0,0.02500000037252903,0.906000018119812,0.3717680275440216
train,32,True,2151,2151,0,0.02500000037252903,0.8709999918937683,0.36202508211135864
train,33,True,2151,2151,0,0.03400000184774399,0.9309999942779541,0.39843976497650146
train,34,True,2151,2151,0,0.03500000014901161,0.9269999861717224,0.3890153467655182
train,35,True,2151,2151,0,0.03099999949336052,0.9039999842643738,0.38930362462997437
train,36,True,2151,2151,0,0.03500000014901161,0.9120000004768372,0.38925474882125854
train,37,True,2151,2151,0,0.04699999839067459,0.9210000038146973,0.41553232073783875
train,38,True,2151,2151,0,0.03099999949336052,0.9300000071525574,0.3941552937030792
train,39,True,2151,2151,0,0.050999999046325684,0.9350000023841858,0.4135787785053253
train,40,True,2151,2151,0,0.02800000086426735,0.9340000152587891,0.3947535753250122
train,41,True,2151,2151,0,0.02800000086426735,0.9369999766349792,0.39358624815940857
train,42,True,2151,2151,0,0.039000000804662704,0.8679999709129333,0.38589492440223694
train,43,True,2151,2151,0,0.020999999716877937,0.9179999828338623,0.3944091200828552
train,44,True,2151,2151,0,0.027000000700354576,0.8880000114440918,0.3828507661819458
train,45,True,2151,2151,0,0.024000000208616257,0.921999990940094,0.3894267678260803
train,46,True,2151,2151,0,0.020999999716877937,0.9150000214576721,0.3866545557975769
train,47,True,2151,2151,0,0.027000000700354576,0.984000027179718,0.4035857915878296
train,48,True,2151,2151,0,0.028999999165534973,0.9769999980926514,0.39393070340156555
