stage,change_type,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,score
Fresh,slope_curvature_change,132,532.0,0.2061595469713211,0.20522586478900823,0.004056687158745034,-0.0002906366997013077,0.0002888538478668483
Fresh,local_maximum,151,551.0,0.2426702380180359,0.24216740288420394,9.936939471773265e-05,-0.00022366941193680684,0.1871279971153216
Fresh,local_minimum,274,674.0,0.05588299036026001,0.05503940576888234,1.249552625943659e-05,8.986177447863064e-05,0.1871279971153216
Fresh,slope_curvature_change,291,691.0,0.10265958309173584,0.10845831031858419,0.01025334470797494,0.0012265458954118062,0.0012261018786864693
Fresh,local_maximum,504,904.0,0.9571278095245361,0.9570994974809726,-7.467246270764782e-07,-4.061887172362999e-06,0.9046747275638279
Fresh,local_minimum,573,973.0,0.9129574298858643,0.9128680464736239,7.150282041512579e-06,4.8366538288990846e-05,0.041362978176707976
Fresh,local_maximum,665,1065.0,0.954276442527771,0.9542310246503318,-5.295516169401271e-06,-2.1662295244390117e-05,0.041362978176707976
Fresh,slope_curvature_change,754,1154.0,0.8466063141822815,0.8475027587454713,-0.0021785862441731085,0.00022614665087603014,0.00022516031274416592
Fresh,local_minimum,795,1195.0,0.8308085203170776,0.8308897471569866,6.7826939468274006e-06,3.464920345513933e-05,0.02779753350526759
Fresh,local_maximum,866,1266.0,0.858670175075531,0.8586872806622542,-9.819384544085263e-06,-3.9268671917835896e-05,0.02779753350526759
Fresh,slope_curvature_change,977,1377.0,0.5753829479217529,0.5739504822718663,-0.00836776778296272,-0.0005113562887907597,0.0005113244748341794
Fresh,local_minimum,1043,1443.0,0.18259571492671967,0.18249895041891653,-1.7525232474724373e-05,3.6901642653831834e-05,0.33050620963326605
Fresh,local_maximum,1276,1676.0,0.5130956768989563,0.5130051600521826,4.654629115474762e-06,-3.3513520699107735e-05,0.33050620963326605
Fresh,slope_curvature_change,1492,1892.0,0.08501063287258148,0.08600721864557041,-0.0050202014149047305,0.00039203830469435735,0.00039199914488272786
