row,parse_ok,original_length,retained_length,min,max,mean
0,True,2151,2101,0.03999999910593033,1.0759999752044678,0.4507177472114563
1,True,2151,2101,0.032999999821186066,1.0190000534057617,0.4400832951068878
2,True,2151,2101,0.03700000047683716,1.0399999618530273,0.44193050265312195
3,True,2151,2101,0.04699999839067459,0.9980000257492065,0.4324716627597809
4,True,2151,2101,0.05000000074505806,1.0399999618530273,0.4594678580760956
5,True,2151,2101,0.0430000014603138,1.00600004196167,0.4406373202800751
6,True,2151,2101,0.029999999329447746,0.9229999780654907,0.4297720193862915
7,True,2151,2101,0.03400000184774399,0.9459999799728394,0.41096001863479614
8,True,2151,2101,0.04899999871850014,0.9549999833106995,0.4594959616661072
9,True,2151,2101,0.03500000014901161,0.972000002861023,0.43986624479293823
10,True,2151,2101,0.052000001072883606,0.9919999837875366,0.48374488949775696
11,True,2151,2101,0.03200000151991844,0.9610000252723694,0.40825656056404114
12,True,2151,2101,0.04899999871850014,0.9890000224113464,0.46316608786582947
13,True,2151,2101,0.04600000008940697,1.0010000467300415,0.4466187655925751
14,True,2151,2101,0.03799999877810478,1.031999945640564,0.44456636905670166
15,True,2151,2101,0.027000000700354576,1.027999997138977,0.43771252036094666
16,True,2151,2101,0.03700000047683716,1.0410000085830688,0.4610290229320526
17,True,2151,2101,0.03999999910593033,0.9909999966621399,0.42822369933128357
18,True,2151,2101,0.03999999910593033,0.9300000071525574,0.42894718050956726
19,True,2151,2101,0.0430000014603138,0.9020000100135803,0.39076822996139526
20,True,2151,2101,0.03799999877810478,0.9210000038146973,0.4051218628883362
21,True,2151,2101,0.039000000804662704,0.9319999814033508,0.42522990703582764
22,True,2151,2101,0.035999998450279236,0.9190000295639038,0.4195859134197235
23,True,2151,2101,0.04699999839067459,0.9039999842643738,0.419053316116333
24,True,2151,2101,0.041999999433755875,0.9240000247955322,0.4290704131126404
25,True,2151,2101,0.03700000047683716,0.9369999766349792,0.4278847873210907
26,True,2151,2101,0.0430000014603138,0.9470000267028809,0.43732553720474243
27,True,2151,2101,0.04699999839067459,0.8970000147819519,0.42413660883903503
28,True,2151,2101,0.050999999046325684,0.9509999752044678,0.42322322726249695
29,True,2151,2101,0.039000000804662704,0.9020000100135803,0.3854007422924042
30,True,2151,2101,0.039000000804662704,0.9580000042915344,0.43645837903022766
